Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
22609469,God's Bankers: A History of Money and Power at the Vatican,Gerald Posner,"Posner, Gerald",,"=""1416576576""","=""9781416576570""",0,3.97,Simon & Schuster,Hardcover,752,2015,2015,,2018/08/03,to-read,to-read (#271),to-read,,,,0,0
34466751,The Cuban Affair,Nelson DeMille,"DeMille, Nelson",Scott Brick,"=""1508241333""","=""9781508241331""",0,3.78,Simon & Schuster Audio,Audio CD,0,2017,2017,,2018/07/30,to-read,to-read (#270),to-read,,,,0,0
66863,Only the Paranoid Survive: How to Exploit the Crisis Points that Challenge Every Company and Career,Andrew S. Grove,"Grove, Andrew S.",,"=""1861975139""","=""9781861975133""",0,3.97,Profile Business,Paperback,224,1998,1996,,2018/07/25,to-read,to-read (#269),to-read,,,,0,0
36417234,Powerful: Building a Culture of Freedom and Responsibility,Patty McCord,"McCord, Patty",,"=""1939714095""","=""9781939714091""",0,4.08,Silicon Guild,Hardcover,228,2018,2018,,2018/02/11,to-read,to-read (#231),to-read,,,chris fralic,0,0
35957157,Thinking in Bets: Making Smarter Decisions When You Don't Have All the Facts,Annie Duke,"Duke, Annie",,"=""0735216355""","=""9780735216358""",0,3.83,Portfolio,Hardcover,288,2018,2018,,2018/07/23,to-read,to-read (#267),to-read,,,chris fralic,0,0
35696171,"Enlightenment Now: The Case for Reason, Science, Humanism, and Progress",Steven Pinker,"Pinker, Steven",,"=""0525427570""","=""9780525427575""",0,4.21,Viking,Hardcover,576,2018,2018,,2018/07/23,to-read,to-read (#268),to-read,,,chris fralic,0,0
27220736,Shoe Dog: A Memoir by the Creator of Nike,Phil Knight,"Knight, Phil",,"=""1501135910""","=""9781501135910""",0,4.47,Scribner,Hardcover,400,2016,2016,,2018/07/23,to-read,to-read (#266),to-read,,,from chris frolic,0,0
18814717,Startup Communities: Building an Entrepreneurial Ecosystem in Your City,Brad Feld,"Feld, Brad",,"=""""","=""""",4,4.00,Wiley,Kindle Edition,225,2012,2012,2018/07/20,2018/07/20,,,read,,,,1,0
39081500,"The Rise of Victimhood Culture: Microaggressions, Safe Spaces, and the New Culture Wars",Bradley   Campbell,"Campbell, Bradley",Jason   Manning,"=""3319703293""","=""9783319703299""",2,4.35,Palgrave Macmillan,Kindle Edition,435,2018,2018,2018/07/20,2018/06/26,abandoned,abandoned (#17),read,"Honestly makes some good points, but it feels like it could've been an article instead of a 278 page book. Gave up 15% through.",,,1,0
40536148,"High Growth Handbook: Scaling Startups from 10 to 10,000 People",Elad Gil,"Gil, Elad",,"=""1732265100""","=""9781732265103""",0,4.04,Stripe Press,Hardcover,344,2018,2018,,2018/07/20,to-read,to-read (#265),to-read,,,,0,0
24811910,"Red Notice: A True Story of High Finance, Murder, and One Man's Fight for Justice",Bill Browder,"Browder, Bill",,"=""""","=""""",5,4.44,Simon & Schuster,Kindle Edition,417,2015,2015,2018/07/11,2018/03/04,,,read,,,,1,0
187633,Art and Fear: Observations on the Perils (and Rewards) of Artmaking,David Bayles,"Bayles, David",Ted Orland,"=""0961454733""","=""9780961454739""",0,3.77,Image Continuum Press - Image Continuum Press,Paperback,122,2001,,,2018/07/09,to-read,to-read (#264),to-read,,,,0,0
25587882,Mastering Emacs,Mickey Petersen,"Petersen, Mickey",,"=""""","=""""",0,4.16,,ebook,314,2022,2015,,2018/07/04,to-read,to-read (#262),to-read,,,,0,0
38799469,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"Carreyrou, John",,"=""""","=""""",4,4.41,Vintage,Kindle Edition,353,2018,2018,2018/07/02,2018/05/29,,,read,,,,1,0
38213061,"Leviathan Wakes (The Expanse, #1)",James S.A. Corey,"Corey, James S.A.",,"=""""","=""""",4,4.30,Orbit,Kindle Edition,577,2011,2011,2018/06/24,2018/05/29,,,read,,,,1,0
36415807,Bruce Lee: A Life,Matthew Polly,"Polly, Matthew",,"=""1501187627""","=""9781501187629""",0,4.40,Simon & Schuster,Hardcover,656,2018,2018,,2018/06/18,to-read,to-read (#261),to-read,,,,0,0
119390,"If You Meet the Buddha on the Road, Kill Him! The Pilgrimage of Psychotherapy Patients",Sheldon B. Kopp,"Kopp, Sheldon B.",,"=""0553278320""","=""9780553278323""",0,3.99,Bantam,Mass Market Paperback,256,1976,1972,,2018/06/15,to-read,to-read (#260),to-read,,,,0,0
1848,Wild Swans: Three Daughters of China,Jung Chang,"Chang, Jung",,"=""""","=""""",0,4.27,Simon & Schuster,Paperback,562,2003,1991,,2018/06/04,to-read,to-read (#259),to-read,,,,0,0
815857,1587: A Year of No Significance: The Ming Dynasty in Decline,Ray Huang,"Huang, Ray",,"=""0300028849""","=""9780300028843""",0,4.31,Yale University Press,Paperback,288,1982,1981,,2018/06/04,to-read,to-read (#258),to-read,,,,0,0
734666,China: A Macro History (An East Gate Book),Ray Huang,"Huang, Ray",,"=""1563247313""","=""9781563247316""",0,3.99,M. E. Sharpe,Paperback,335,1996,1955,,2018/06/04,to-read,to-read (#257),to-read,,,,0,0
30833,The Death and Life of Great American Cities,Jane Jacobs,"Jacobs, Jane",,"=""0375508732""","=""9780375508738""",0,4.30,Random House,Hardcover,472,2002,1961,,2018/06/04,to-read,to-read (#256),to-read,,,,0,0
36854808,Unfabling the East: The Enlightenment's Encounter with Asia,Jürgen Osterhammel,"Osterhammel, Jürgen",,"=""0691172722""","=""9780691172729""",0,4.09,Princeton University Press,Hardcover,696,2018,1998,,2018/05/21,to-read,to-read (#250),to-read,,,,0,0
136241,A Voice Crying in the Wilderness (Vox Clamantis in Deserto): Notes from a Secret Journal,Edward Abbey,"Abbey, Edward",Andrew Rush,"=""0312064888""","=""9780312064884""",2,3.94,St. Martin's Griffin,Paperback,128,1989,1989,,2018/06/03,,,read,,,,1,0
